code,crop,seeding_date,data_type,unit,date,value
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-06-15T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-06-23T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-06-28T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-07-05T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-07-13T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-07-20T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,irrigation,mm,2026-07-26T00:00:00Z,30.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-23T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-24T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-25T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-26T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-27T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-28T00:00:00Z,5.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-29T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-04-30T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-01T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-02T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-03T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-04T00:00:00Z,6.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-05T00:00:00Z,17.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-06T00:00:00Z,5.5
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-07T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-08T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-09T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-10T00:00:00Z,8.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-11T00:00:00Z,1.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-12T00:00:00Z,1.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-13T00:00:00Z,1.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-14T00:00:00Z,10.6
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-15T00:00:00Z,5.6
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-16T00:00:00Z,0.4
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-17T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-18T00:00:00Z,1.6
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-19T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-20T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-21T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-22T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-23T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-24T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-25T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-26T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-27T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-28T00:00:00Z,0.0
PLOT00017,Maïs semence,2026-04-23,rainfalls,mm,2026-05-29T00:00:00Z,0.0
