code,data_type,unit,n_points,total,first_date,last_date
PLOT00017,irrigation,mm,7,210.0,2026-06-15T00:00:00Z,2026-07-26T00:00:00Z
PLOT00017,rainfalls,mm,96,111.1,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT00018,irrigation,mm,6,180.0,2026-06-17T00:00:00Z,2026-07-23T00:00:00Z
PLOT00018,rainfalls,mm,96,116.1,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT00019,irrigation,mm,11,250.0,2026-06-12T00:00:00Z,2026-07-25T00:00:00Z
PLOT00019,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00020,irrigation,mm,14,274.0,2026-06-06T00:00:00Z,2026-07-23T00:00:00Z
PLOT00020,rainfalls,mm,90,75.4,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT00038,irrigation,mm,5,57.0,2026-06-03T00:00:00Z,2026-06-21T00:00:00Z
PLOT00038,rainfalls,mm,111,340.2,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT00042,rainfalls,mm,58,137.8,2026-04-30T00:00:00Z,2026-07-27T00:00:00Z
PLOT00045,irrigation,mm,11,270.0,2026-06-12T00:00:00Z,2026-07-25T00:00:00Z
PLOT00045,rainfalls,mm,99,100.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00046,irrigation,mm,12,253.0,2026-05-31T00:00:00Z,2026-07-25T00:00:00Z
PLOT00046,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00047,irrigation,mm,12,239.0,2026-05-31T00:00:00Z,2026-07-25T00:00:00Z
PLOT00047,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT00048,irrigation,mm,11,229.0,2026-06-11T00:00:00Z,2026-07-25T00:00:00Z
PLOT00048,rainfalls,mm,99,97.6,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
