code,client,latitude,longitude,surface_area,seeding_date,crop,disabled,geometry
PLOT00017,CLIENT00308,43.639864,1.903496,0.7,2026-04-23,Maïs semence,False,"POLYGON((1.90538533 43.63876273,1.90568006 43.63804486,1.90573123 43.63802171,1.90576992 43.6380797,1.90717468 43.64030586,1.90672026 43.64033759,1.90634955 43.64041259,1.90538533 43.63876273))"
PLOT00018,CLIENT00308,43.638865,1.896284,2.2,2026-04-23,Maïs semence,False,"POLYGON((1.8936319624 43.6390100101,1.8937677828 43.6388761033,1.8942170776134 43.638616975198,1.8944517957056 43.638202554455,1.8972993608026 43.638760834166,1.8972059 43.63955032,1.89714125 43.63967709,1.89632055 43.63951013,1.8936319624 43.6390100101))"
PLOT00019,CLIENT00308,43.101906,1.952009,0.5,2026-05-09,Maïs semence,False,"POLYGON((1.952876154 43.10085209,1.952480407 43.101625153,1.952096852 43.102101042,1.951391431 43.102686595,1.951190265 43.102449632,1.951678427 43.102050124,1.952239009 43.101188429,1.952696208 43.10084418,1.952876154 43.10085209))"
PLOT00020,CLIENT00308,43.082361,1.956043,0.12,2026-04-29,Maïs semence,False,"POLYGON((1.955839773496 43.082546082871,1.955839773496 43.082240477167,1.9562581981024 43.082232641103,1.9562260115942 43.082561754917,1.955839773496 43.082546082871))"
PLOT00038,CLIENT00308,43.454837,1.953123,15,2026-05-09,Maïs semence,False,"POLYGON((1.94888173 43.4571791,1.94867463 43.4569741,1.94822277 43.45694676,1.94918298 43.45586708,1.95027498 43.45496505,1.95142346 43.45384432,1.95208243 43.45348896,1.9534945 43.4530516,1.95426643 43.45292859,1.95522664 43.45280558,1.95565967 43.4526279,1.95739182 43.45275091,1.9506327 43.4579171,1.95014318 43.45782143,1.9489947 43.4574661,1.94888173 43.4571791))"
PLOT00042,CLIENT00308,44.030538,1.571753,4,2026-04-30,Maïs semence,False,"POLYGON((1.5704812576721 44.030598492607,1.5706222576721 44.030497402581,1.5710652676721 44.030179762498,1.5715379176721 44.02984029241,1.5735676476721 44.030555002596,1.5732379576721 44.030940762696,1.5731834176721 44.031004572713,1.5728275776721 44.031420942821,1.5716751476721 44.031016982716,1.5714254876721 44.031428902823,1.5700370476721 44.031005572713,1.5704812576721 44.030598492607))"
PLOT00045,CLIENT00308,43.091197,1.975655,1.6,2026-05-11,Maïs semence,False,"POLYGON((1.97514915 43.09288869,1.97485229 43.09264547,1.97432407 43.0921717,1.97481121 43.09208889,1.97563785 43.09191384,1.97588872 43.0922491,1.97617216 43.09256532,1.97664131 43.09291959,1.97585939 43.0931526,1.97557595 43.09304561,1.97514915 43.09288869))"
PLOT00046,CLIENT00308,43.091165,1.969084,1.4,2026-05-12,Maïs semence,False,"MULTIPOLYGON(((1.96737093 43.09069851,1.96691332 43.08999698,1.96770421 43.08971906,1.9682231 43.09016494,1.96851723 43.09044886,1.96737093 43.09069851)),((1.96852457 43.09047302,1.96885524 43.09078709,1.96756198 43.09102869,1.96739297 43.09072267,1.96852457 43.09047302)),((1.96953287 43.09109335,1.96945755 43.09238516,1.96878801 43.09206144,1.96887171 43.09185378,1.96898469 43.09176522,1.96918136 43.09115138,1.96953287 43.09109335)))"
PLOT00047,CLIENT00308,43.098756,1.959214,2.4,2026-05-08,Maïs semence,False,"MULTIPOLYGON(((1.96182613 43.09775837,1.96183486 43.09778005,1.96185161 43.09779985,1.9621551 43.09828934,1.96190228 43.09845907,1.96125507 43.098769,1.9604764 43.09893872,1.95988987 43.09902728,1.95994997 43.09835489,1.96026053 43.09830509,1.96070364 43.09815014,1.96151198 43.09764218,1.96174622 43.09762763,1.96175158 43.09763296,1.96182138 43.09775064,1.96182613 43.09775837)),((1.95878467 43.09889924,1.95934045 43.09883497,1.95867759 43.1002846,1.95871559 43.10075032,1.95888025 43.10072873,1.95890558 43.10025684,1.95954212 43.09879136,1.95979789 43.09876153,1.95982931 43.09879883,1.95942873 43.09951033,1.95910277 43.10020462,1.95908314 43.10070668,1.9583998 43.1008616,1.95821522 43.10060913,1.95818773 43.10024765,1.958227 43.10000953,1.95878467 43.09889924)))"
PLOT00048,CLIENT00308,43.096534,1.964779,2.6,2026-05-11,Maïs semence,False,"MULTIPOLYGON(((1.96712294 43.097624,1.96532123 43.09703097,1.96563554 43.09669648,1.96574691 43.09655907,1.965836 43.09651567,1.96741992 43.09703458,1.96712294 43.097624)),((1.96531875 43.09525359,1.96565817 43.09545522,1.96635287 43.09598592,1.96556618 43.09656529,1.96528212 43.09681775,1.9643023 43.09615329,1.9645606 43.09599519,1.9646526 43.09590018,1.96463674 43.09583297,1.96531875 43.09525359)))"
