code,client,latitude,longitude,surface_area,seeding_date,crop
PLOT00017,CLIENT00308,43.639864,1.903496,0.7,2026-04-23,Maïs semence
PLOT00018,CLIENT00308,43.638865,1.896284,2.2,2026-04-23,Maïs semence
PLOT00019,CLIENT00308,43.101906,1.952009,0.5,2026-05-09,Maïs semence
PLOT00020,CLIENT00308,43.082361,1.956043,0.12,2026-04-29,Maïs semence
PLOT00038,CLIENT00308,43.454837,1.953123,15,2026-05-09,Maïs semence
PLOT00042,CLIENT00308,44.030538,1.571753,4,2026-04-30,Maïs semence
PLOT00045,CLIENT00308,43.091197,1.975655,1.6,2026-05-11,Maïs semence
PLOT00046,CLIENT00308,43.091165,1.969084,1.4,2026-05-12,Maïs semence
PLOT00047,CLIENT00308,43.098756,1.959214,2.4,2026-05-08,Maïs semence
PLOT00048,CLIENT00308,43.096534,1.964779,2.6,2026-05-11,Maïs semence
PLOT00049,CLIENT00308,43.087355,1.965637,1.2,2026-05-12,Maïs semence
PLOT00050,CLIENT00308,43.100613,1.965064,3.2,2026-05-20,Maïs semence
PLOT00051,CLIENT00308,43.088141,1.960214,0.8,2026-05-13,Maïs semence
PLOT00061,CLIENT00308,44.136592,1.367186,4.5,2026-05-03,Maïs semence
PLOT00077,CLIENT00308,43.931793,1.377403,12,2026-04-24,Maïs semence
PLOT00079,CLIENT00308,43.843686,1.436039,19.46,2026-05-13,Maïs semence
PLOT00083,CLIENT00308,43.198788,1.552698,1,2026-04-25,Maïs semence
PLOT00088,CLIENT00308,43.140053,1.37593,6.4,2026-05-09,Maïs semence
PLOT00098,CLIENT00308,43.838641,1.520646,12,2026-04-23,Maïs semence
PLOT00100,CLIENT00308,43.816703,1.488485,12,2026-04-24,Maïs semence
PLOT00102,CLIENT00308,43.181517,1.803032,9,2026-05-22,Maïs semence
PLOT00103,CLIENT00308,43.82996,1.513894,15,2026-04-25,Maïs semence
PLOT00106,CLIENT00308,43.826267,1.569228,11,2026-04-23,Maïs semence
PLOT00107,CLIENT00308,43.179302,1.814696,5,2026-05-21,Maïs semence
PLOT00108,CLIENT00308,43.182245,1.781957,5,2026-05-08,Maïs semence
PLOT00109,CLIENT00308,43.748824,1.63221,10,2026-05-20,Maïs semence
PLOT00111,CLIENT00308,43.821176,1.577941,13.27,2026-04-24,Maïs semence
PLOT00112,CLIENT00308,43.233439,1.708294,30,2026-05-08,Maïs semence
PLOT00113,CLIENT00308,43.263288,2.074201,9.16,2026-04-25,Maïs semence
PLOT00119,CLIENT00308,43.188361,1.71949,18,2026-05-26,Maïs semence
PLOT00120,CLIENT00308,43.184359,1.72267,19,2026-04-20,Maïs semence
PLOT00124,CLIENT00308,43.186447,1.711946,16.5,2026-04-25,Maïs semence
PLOT00125,CLIENT00308,43.252169,1.665842,12,2026-05-13,Maïs semence
PLOT00127,CLIENT00308,43.824185,1.532488,8,2026-05-21,Maïs semence
PLOT00128,CLIENT00308,43.33218,1.905038,11,2026-05-26,Maïs semence
